SourceFileName,TargetFileName,SourceFileSize,TargetFileSize,SourcePageCount,TargetPageCount,Status
79466729_Black,79466729_Black,216.85 KB,216.85 KB,2,2,Matching
79466729_Black,79466729_Black,216.85 KB,216.85 KB,2,2,Matching
79466729_Black,79466729_Black3,216.85 KB,260.40 KB,2,2,Not Matching
79466729_Black,79466729_Black,216.85 KB,216.85 KB,2,2,Matching
79466729_Black,79466729_Black3,216.85 KB,260.40 KB,2,2,Not Matching
79466729_Black,79466729_Black,216.85 KB,216.85 KB,2,2,Matching
79466729_Black,79466729_Black,216.85 KB,216.85 KB,2,2,Matching
79466729_Black,79466729_Black2,216.85 KB,222.36 KB,2,2,Not Matching
79466729_Black,79466729_Black,216.85 KB,216.85 KB,2,2,Matching
79466729_Black,79466729_Black2,216.85 KB,222.36 KB,2,2,Not Matching
